,entity_id,state,created
1200,sensor.0x00158d00066941c9_illuminance_lux,17,2021-11-26 08:55:52.658246
1203,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 08:54:22.658507
1204,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 08:54:22.657464
1205,sensor.0x00158d00066941c9_illuminance_lux,17,2021-11-26 08:54:22.656718
1206,sensor.0x00158d00066941c9_illuminance_lux,16,2021-11-26 08:54:22.654963
1217,device_tracker.chris_phone,home,2021-11-26 08:47:25.093923
1224,device_tracker.chris_phone,home,2021-11-26 08:39:10.188684
1235,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-26 08:33:05.023889
1236,sensor.bedroom_entrance_illuminance_lux,0,2021-11-26 08:33:05.023115
1237,sensor.bedroom_entrance_illuminance_lux,3,2021-11-26 08:33:05.021977
1239,device_tracker.chris_phone,home,2021-11-26 08:32:48.544646
1242,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 08:30:16.259999
1244,sensor.0x00158d00066941c9_illuminance_lux,16,2021-11-26 08:30:16.257346
1254,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-26 08:21:06.582892
1255,sensor.0x00158d0001e4ad46_illuminance_lux,8,2021-11-26 08:21:06.582167
1256,sensor.0x00158d0001e4ad46_illuminance_lux,4,2021-11-26 08:21:06.581002
1261,device_tracker.chris_phone,home,2021-11-26 08:15:56.210293
1269,device_tracker.chris_phone,home,2021-11-26 08:08:09.405892
1272,weather.home,rainy,2021-11-26 08:04:40.615642
1273,device_tracker.chris_phone,home,2021-11-26 08:03:38.676818
1284,device_tracker.chris_phone,home,2021-11-26 07:46:09.129831
1287,device_tracker.chris_phone,home,2021-11-26 07:43:38.582532
1293,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 07:35:14.740915
1294,sensor.0x00158d00066941c9_illuminance_lux,16,2021-11-26 07:35:14.740275
1296,sensor.0x00158d00066941c9_illuminance_lux,3,2021-11-26 07:35:14.738227
1301,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-26 07:26:06.318434
1302,sensor.0x00158d0001e4ad46_illuminance_lux,4,2021-11-26 07:26:06.316955
1305,device_tracker.chris_phone,home,2021-11-26 07:25:00.260990
1308,device_tracker.chris_phone,home,2021-11-26 07:16:40.890214
1311,weather.home,rainy,2021-11-26 07:05:40.637975
1316,device_tracker.chris_phone,home,2021-11-26 07:00:00.095702
1319,device_tracker.chris_phone,home,2021-11-26 06:43:24.656717
1320,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-26 06:43:01.848081
1321,sensor.bedroom_entrance_illuminance_lux,3,2021-11-26 06:43:01.846572
