,entity_id,state,created
5177,device_tracker.chris_phone,home,2021-11-23 19:02:48.461493
5180,device_tracker.chris_phone,home,2021-11-23 18:56:26.159602
5185,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 18:44:32.463511
5186,sensor.0x00158d0001e4ad46_illuminance_lux,16,2021-11-23 18:44:32.462741
5187,sensor.0x00158d0001e4ad46_illuminance_lux,97,2021-11-23 18:44:32.461341
5189,device_tracker.chris_phone,home,2021-11-23 18:42:29.615025
5191,device_tracker.chris_phone,home,2021-11-23 18:41:47.026182
5193,device_tracker.chris_phone,home,2021-11-23 18:40:43.738732
5195,device_tracker.chris_phone,home,2021-11-23 18:37:18.030447
5196,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 18:32:18.682676
5197,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 18:32:18.681243
5199,sensor.0x00158d00066941c9_illuminance_lux,25,2021-11-23 18:32:18.671762
5201,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 18:30:48.662229
5202,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 18:30:48.660717
5204,sensor.0x00158d00066941c9_illuminance_lux,25,2021-11-23 18:30:48.657571
5206,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-23 18:30:48.652900
5210,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 18:29:33.683171
5211,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 18:29:33.682231
5213,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-23 18:29:33.678004
5215,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 18:28:03.681467
5216,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 18:28:03.680043
5218,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-23 18:28:03.678510
5220,sensor.0x00158d00066941c9_illuminance_lux,25,2021-11-23 18:28:03.676343
5222,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 18:21:42.391280
5223,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 18:21:42.390053
5225,sensor.0x00158d00066941c9_illuminance_lux,25,2021-11-23 18:21:42.385953
5228,device_tracker.chris_phone,home,2021-11-23 18:21:26.559117
5230,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 18:20:12.377169
5231,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 18:20:12.376349
5233,sensor.0x00158d00066941c9_illuminance_lux,25,2021-11-23 18:20:12.374627
5235,sensor.0x00158d00066941c9_illuminance_lux,20,2021-11-23 18:20:12.370042
5237,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 18:20:08.211562
5238,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 18:20:08.210654
5240,sensor.0x00158d00066941c9_illuminance_lux,20,2021-11-23 18:20:08.207316
5242,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 18:19:03.525234
5244,sensor.0x00158d00066941c9_illuminance_lux,20,2021-11-23 18:19:03.523760
5246,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-23 18:19:03.521654
5248,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 18:18:38.204950
5249,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 18:18:38.203727
5251,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-23 18:18:38.201744
5253,sensor.0x00158d00066941c9_illuminance_lux,58,2021-11-23 18:18:38.199642
5256,device_tracker.chris_phone,home,2021-11-23 18:18:30.868710
5258,device_tracker.chris_phone,home,2021-11-23 18:15:10.822609
5267,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 18:08:37.848513
5268,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 18:08:37.847602
5270,sensor.0x00158d00066941c9_illuminance_lux,58,2021-11-23 18:08:37.844215
5283,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 18:08:15.412132
5284,binary_sensor.0x00158d0001e4ad46_occupancy,on,2021-11-23 18:08:15.411072
5285,sensor.0x00158d0001e4ad46_illuminance_lux,97,2021-11-23 18:08:15.408873
5286,weather.home,sunny,2021-11-23 18:07:40.663839
5429,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 18:07:07.841752
5430,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 18:07:07.840515
5432,sensor.0x00158d00066941c9_illuminance_lux,58,2021-11-23 18:07:07.837107
5434,sensor.0x00158d00066941c9_illuminance_lux,3,2021-11-23 18:07:07.831763
5436,binary_sensor.0x00158d0001e4ad46_occupancy,on,2021-11-23 18:06:45.395046
5437,sensor.0x00158d0001e4ad46_illuminance_lux,97,2021-11-23 18:06:45.393956
5438,sensor.0x00158d0001e4ad46_illuminance_lux,3,2021-11-23 18:06:45.391456
5455,binary_sensor.0x00158d0001e4ad46_occupancy,on,2021-11-23 18:05:43.762839
5456,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 18:05:43.761926
5457,sensor.0x00158d0001e4ad46_illuminance_lux,3,2021-11-23 18:05:43.760428
5459,device_tracker.chris_phone,not_home,2021-11-23 18:03:38.951024
5468,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 17:48:29.252700
5469,sensor.0x00158d0001e4ad46_illuminance_lux,3,2021-11-23 17:48:29.251892
5470,sensor.0x00158d0001e4ad46_illuminance_lux,7,2021-11-23 17:48:29.250822
5474,device_tracker.chris_phone,not_home,2021-11-23 17:33:49.208531
5480,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 17:24:33.264048
5481,sensor.0x00158d00066941c9_illuminance_lux,3,2021-11-23 17:24:33.261993
5483,sensor.0x00158d00066941c9_illuminance_lux,16,2021-11-23 17:24:33.259621
5485,device_tracker.chris_phone,not_home,2021-11-23 17:21:42.157592
5489,weather.home,sunny,2021-11-23 17:08:40.677454
5493,device_tracker.chris_phone,not_home,2021-11-23 17:01:43.878039
5494,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 16:57:47.593709
5495,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 16:57:47.592152
5497,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 16:53:30.881792
5498,sensor.0x00158d0001e4ad46_illuminance_lux,7,2021-11-23 16:53:30.881009
5499,sensor.0x00158d0001e4ad46_illuminance_lux,8,2021-11-23 16:53:30.879918
5501,device_tracker.chris_phone,not_home,2021-11-23 16:49:04.751199
5504,device_tracker.chris_phone,not_home,2021-11-23 16:48:23.387407
5507,device_tracker.chris_phone,not_home,2021-11-23 16:40:35.067961
5510,device_tracker.chris_phone,not_home,2021-11-23 16:38:34.076825
5519,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 16:29:30.777520
5520,sensor.0x00158d00066941c9_illuminance_lux,16,2021-11-23 16:29:30.776055
5522,sensor.0x00158d00066941c9_illuminance_lux,17,2021-11-23 16:29:30.773203
5525,device_tracker.chris_phone,not_home,2021-11-23 16:28:35.675161
5528,device_tracker.chris_phone,not_home,2021-11-23 16:27:53.262740
5530,device_tracker.chris_phone,not_home,2021-11-23 16:21:43.279869
5536,weather.home,sunny,2021-11-23 16:09:40.658011
5540,device_tracker.chris_phone,not_home,2021-11-23 16:06:06.974284
5544,device_tracker.chris_phone,not_home,2021-11-23 16:01:22.014634
5545,device_tracker.chris_phone,not_home,2021-11-23 16:00:42.787633
5560,device_tracker.chris_phone,not_home,2021-11-23 15:40:30.161690
5564,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 15:34:28.546007
5565,sensor.0x00158d00066941c9_illuminance_lux,17,2021-11-23 15:34:28.544135
5567,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-23 15:34:28.542104
5580,device_tracker.chris_phone,not_home,2021-11-23 15:20:01.314253
5586,weather.home,sunny,2021-11-23 15:10:40.688912
5589,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 15:07:45.975405
5590,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 15:07:45.973731
5594,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 15:03:29.247128
5595,sensor.0x00158d0001e4ad46_illuminance_lux,8,2021-11-23 15:03:29.246439
5596,sensor.0x00158d0001e4ad46_illuminance_lux,16,2021-11-23 15:03:29.245270
5599,device_tracker.chris_phone,not_home,2021-11-23 15:01:43.988792
5609,device_tracker.chris_phone,not_home,2021-11-23 14:46:42.419201
5613,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 14:39:25.455186
5614,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-23 14:39:25.453727
5616,sensor.0x00158d00066941c9_illuminance_lux,20,2021-11-23 14:39:25.451131
5625,device_tracker.chris_phone,not_home,2021-11-23 14:31:20.951041
5630,device_tracker.chris_phone,not_home,2021-11-23 14:18:42.386136
5634,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 14:12:44.511911
5635,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 14:12:44.509951
5636,weather.home,sunny,2021-11-23 14:11:40.492755
5638,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 14:08:27.042274
5639,sensor.0x00158d0001e4ad46_illuminance_lux,16,2021-11-23 14:08:27.041584
5640,sensor.0x00158d0001e4ad46_illuminance_lux,17,2021-11-23 14:08:27.040476
5645,device_tracker.chris_phone,not_home,2021-11-23 14:03:39.530308
5648,device_tracker.chris_phone,not_home,2021-11-23 14:01:10.171410
5654,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 13:44:22.947523
5655,sensor.0x00158d00066941c9_illuminance_lux,20,2021-11-23 13:44:22.946049
5657,sensor.0x00158d00066941c9_illuminance_lux,21,2021-11-23 13:44:22.943222
5661,device_tracker.chris_phone,not_home,2021-11-23 13:41:42.252571
5664,device_tracker.chris_phone,not_home,2021-11-23 13:38:02.498569
5666,device_tracker.chris_phone,not_home,2021-11-23 13:37:13.371985
5669,device_tracker.chris_phone,not_home,2021-11-23 13:31:44.130978
5675,device_tracker.chris_phone,not_home,2021-11-23 13:18:40.571038
5677,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 13:17:45.029851
5678,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 13:17:45.028296
5683,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 13:13:26.139768
5684,sensor.0x00158d0001e4ad46_illuminance_lux,17,2021-11-23 13:13:26.139093
5685,sensor.0x00158d0001e4ad46_illuminance_lux,19,2021-11-23 13:13:26.138066
5686,weather.home,sunny,2021-11-23 13:12:39.716179
5691,device_tracker.chris_phone,not_home,2021-11-23 13:01:58.448599
5694,device_tracker.chris_phone,not_home,2021-11-23 12:58:57.944201
5702,device_tracker.chris_phone,not_home,2021-11-23 12:50:01.537731
5703,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 12:49:22.456024
5704,sensor.0x00158d00066941c9_illuminance_lux,21,2021-11-23 12:49:22.454276
5706,sensor.0x00158d00066941c9_illuminance_lux,27,2021-11-23 12:49:22.451474
5714,device_tracker.chris_phone,not_home,2021-11-23 12:35:48.530354
5721,device_tracker.chris_phone,not_home,2021-11-23 12:25:46.375041
5724,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 12:22:44.682559
5725,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 12:22:44.681096
5727,device_tracker.chris_phone,not_home,2021-11-23 12:22:33.155011
5730,device_tracker.chris_phone,not_home,2021-11-23 12:21:42.367588
5732,device_tracker.chris_phone,not_home,2021-11-23 12:20:52.549281
5734,device_tracker.chris_phone,not_home,2021-11-23 12:20:02.449507
5736,device_tracker.chris_phone,not_home,2021-11-23 12:19:12.654764
5737,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 12:18:24.043452
5738,sensor.0x00158d0001e4ad46_illuminance_lux,19,2021-11-23 12:18:24.042611
5739,sensor.0x00158d0001e4ad46_illuminance_lux,27,2021-11-23 12:18:24.041205
5742,weather.home,sunny,2021-11-23 12:13:39.701444
5747,device_tracker.chris_phone,not_home,2021-11-23 12:08:40.641270
5749,device_tracker.chris_phone,not_home,2021-11-23 12:02:19.387660
5752,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 11:54:20.264428
5753,sensor.0x00158d00066941c9_illuminance_lux,27,2021-11-23 11:54:20.263123
5755,sensor.0x00158d00066941c9_illuminance_lux,41,2021-11-23 11:54:20.261000
5760,device_tracker.chris_phone,not_home,2021-11-23 11:46:42.424722
5767,device_tracker.chris_phone,not_home,2021-11-23 11:30:32.627690
5770,device_tracker.chris_phone,not_home,2021-11-23 11:26:40.648560
5773,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 11:23:22.561437
5774,sensor.0x00158d0001e4ad46_illuminance_lux,27,2021-11-23 11:23:22.560618
5775,sensor.0x00158d0001e4ad46_illuminance_lux,18,2021-11-23 11:23:22.559343
5778,weather.home,sunny,2021-11-23 11:14:39.694587
5782,device_tracker.chris_phone,not_home,2021-11-23 11:07:24.105720
5784,device_tracker.chris_phone,not_home,2021-11-23 11:06:42.559517
5786,device_tracker.chris_phone,not_home,2021-11-23 11:06:10.291660
5789,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 10:59:18.480558
5790,sensor.0x00158d00066941c9_illuminance_lux,41,2021-11-23 10:59:18.478494
5792,sensor.0x00158d00066941c9_illuminance_lux,22,2021-11-23 10:59:18.476113
5798,device_tracker.chris_phone,not_home,2021-11-23 10:52:41.008702
5805,device_tracker.chris_phone,not_home,2021-11-23 10:37:01.684721
5808,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 10:32:43.808288
5809,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 10:32:43.806256
5810,device_tracker.chris_phone,not_home,2021-11-23 10:31:41.433329
5812,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 10:28:21.793982
5813,sensor.0x00158d0001e4ad46_illuminance_lux,18,2021-11-23 10:28:21.792192
5818,weather.home,partlycloudy,2021-11-23 10:15:39.734676
5821,device_tracker.chris_phone,not_home,2021-11-23 10:11:13.903485
5824,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 10:04:16.129764
5825,sensor.0x00158d00066941c9_illuminance_lux,22,2021-11-23 10:04:16.128350
5827,sensor.0x00158d00066941c9_illuminance_lux,25,2021-11-23 10:04:16.126159
5831,device_tracker.chris_phone,not_home,2021-11-23 09:56:41.442944
5840,device_tracker.chris_phone,not_home,2021-11-23 09:36:39.300485
5842,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 09:33:21.502761
5843,sensor.0x00158d0001e4ad46_illuminance_lux,18,2021-11-23 09:33:21.501960
5844,sensor.0x00158d0001e4ad46_illuminance_lux,15,2021-11-23 09:33:21.500967
5848,device_tracker.chris_phone,not_home,2021-11-23 09:28:25.454559
5852,weather.home,partlycloudy,2021-11-23 09:16:39.693987
5857,device_tracker.chris_phone,not_home,2021-11-23 09:11:10.658648
5860,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 09:09:15.152965
5862,sensor.0x00158d00066941c9_illuminance_lux,25,2021-11-23 09:09:15.150865
5864,sensor.0x00158d00066941c9_illuminance_lux,23,2021-11-23 09:09:15.148127
5872,device_tracker.chris_phone,not_home,2021-11-23 09:01:05.992759
5879,device_tracker.chris_phone,not_home,2021-11-23 08:56:46.603483
5883,device_tracker.chris_phone,not_home,2021-11-23 08:53:58.645677
5885,device_tracker.chris_phone,not_home,2021-11-23 08:52:51.663157
5887,device_tracker.chris_phone,not_home,2021-11-23 08:52:20.507203
5890,device_tracker.chris_phone,not_home,2021-11-23 08:51:50.386778
5892,device_tracker.chris_phone,not_home,2021-11-23 08:51:22.610197
5899,device_tracker.chris_phone,not_home,2021-11-23 08:48:14.849997
5902,device_tracker.chris_phone,not_home,2021-11-23 08:47:44.115278
5905,device_tracker.chris_phone,not_home,2021-11-23 08:47:13.601163
5910,device_tracker.chris_phone,not_home,2021-11-23 08:46:43.693969
5912,device_tracker.chris_phone,not_home,2021-11-23 08:46:13.345926
5916,device_tracker.chris_phone,not_home,2021-11-23 08:45:42.920674
5919,device_tracker.chris_phone,not_home,2021-11-23 08:45:36.433874
5924,device_tracker.chris_phone,not_home,2021-11-23 08:44:37.471273
5930,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 08:42:40.470577
5931,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 08:42:40.469132
5934,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 08:38:21.315034
5935,sensor.0x00158d0001e4ad46_illuminance_lux,15,2021-11-23 08:38:21.314390
5936,sensor.0x00158d0001e4ad46_illuminance_lux,97,2021-11-23 08:38:21.313400
5941,device_tracker.chris_phone,not_home,2021-11-23 08:33:26.148470
5947,device_tracker.chris_phone,not_home,2021-11-23 08:30:14.611857
5953,device_tracker.chris_phone,not_home,2021-11-23 08:27:54.513275
5955,device_tracker.chris_phone,not_home,2021-11-23 08:27:26.154487
5957,device_tracker.chris_phone,not_home,2021-11-23 08:26:54.671990
5979,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 08:23:26.330426
5980,binary_sensor.0x00158d0001e4ad46_occupancy,on,2021-11-23 08:23:26.329408
5981,sensor.0x00158d0001e4ad46_illuminance_lux,97,2021-11-23 08:23:26.327687
5983,binary_sensor.0x00158d0001e4ad46_occupancy,on,2021-11-23 08:21:56.318645
5984,sensor.0x00158d0001e4ad46_illuminance_lux,97,2021-11-23 08:21:56.317232
5985,sensor.0x00158d0001e4ad46_illuminance_lux,15,2021-11-23 08:21:56.313988
5986,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 08:21:25.423572
5987,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 08:21:25.422648
5989,sensor.0x00158d00066941c9_illuminance_lux,23,2021-11-23 08:21:25.419443
6007,binary_sensor.0x00158d0001e4ad46_occupancy,on,2021-11-23 08:20:55.705231
6008,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 08:20:55.704407
6009,sensor.0x00158d0001e4ad46_illuminance_lux,15,2021-11-23 08:20:55.703755
6010,sensor.0x00158d0001e4ad46_illuminance_lux,16,2021-11-23 08:20:55.702698
6012,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 08:19:55.422682
6013,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 08:19:55.421642
6015,sensor.0x00158d00066941c9_illuminance_lux,23,2021-11-23 08:19:55.419698
6017,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-23 08:19:55.417586
6019,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 08:18:38.493264
6020,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 08:18:38.492340
6022,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-23 08:18:38.489121
6024,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 08:18:35.330031
6025,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-23 08:18:35.328986
6026,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 08:18:35.327176
6028,weather.home,partlycloudy,2021-11-23 08:17:39.665940
6029,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 08:17:08.498745
6032,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-23 08:17:08.494622
6034,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 08:17:08.481775
6035,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 08:17:08.480928
6038,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-23 08:17:08.475971
6040,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-23 08:17:05.328960
6041,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 08:17:05.327597
6042,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-23 08:17:05.317915
6043,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 08:17:05.316222
6044,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 08:17:05.313581
6045,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 08:16:22.087259
6046,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-23 08:16:22.085874
6047,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 08:16:22.083699
6049,device_tracker.chris_phone,not_home,2021-11-23 08:16:13.524814
6054,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-23 08:14:52.075641
6055,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 08:14:52.074564
6056,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 08:14:52.073007
6057,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 08:14:15.047441
6059,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-23 08:14:15.045462
6061,sensor.0x00158d00066941c9_illuminance_lux,40,2021-11-23 08:14:15.043046
6064,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 08:12:56.891840
6065,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-23 08:12:56.890834
6066,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 08:12:56.889079
6068,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-23 08:11:26.880242
6069,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 08:11:26.878678
6070,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 08:11:26.875610
6071,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 08:10:07.370887
6072,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-23 08:10:07.369492
6073,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 08:10:07.367539
6074,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 08:10:05.446089
6075,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 08:10:05.445126
6077,sensor.0x00158d00066941c9_illuminance_lux,40,2021-11-23 08:10:05.441885
6081,device_tracker.chris_phone,not_home,2021-11-23 08:08:49.061443
6082,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-23 08:08:37.363863
6083,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 08:08:37.362901
6084,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 08:08:37.361009
6085,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 08:08:35.440017
6086,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 08:08:35.438795
6087,sensor.0x00158d00066941c9_illuminance_lux,40,2021-11-23 08:08:35.437288
6089,sensor.0x00158d00066941c9_illuminance_lux,32,2021-11-23 08:08:35.434886
6093,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 08:04:50.880785
6094,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 08:04:50.879741
6096,sensor.0x00158d00066941c9_illuminance_lux,32,2021-11-23 08:04:50.875121
6098,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 08:04:47.700240
6099,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-23 08:04:47.698929
6100,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 08:04:47.696450
6102,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-23 08:03:20.875103
6103,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 08:03:20.874145
6105,sensor.0x00158d00066941c9_illuminance_lux,32,2021-11-23 08:03:20.872690
6107,sensor.0x00158d00066941c9_illuminance_lux,16,2021-11-23 08:03:20.869956
6109,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-23 08:03:17.704225
6110,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 08:03:17.702671
6111,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-23 08:03:17.693997
6112,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 08:03:17.693073
6113,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 08:03:17.691614
6122,device_tracker.chris_phone,not_home,2021-11-23 07:58:45.874406
6125,device_tracker.chris_phone,not_home,2021-11-23 07:56:45.850495
6135,device_tracker.chris_phone,not_home,2021-11-23 07:50:00.244433
6138,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 07:46:37.939282
6139,sensor.bedroom_entrance_illuminance_lux,0,2021-11-23 07:46:37.938694
6140,sensor.bedroom_entrance_illuminance_lux,3,2021-11-23 07:46:37.937669
6148,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 07:40:54.976713
6149,sensor.0x00158d0001e4ad46_illuminance_lux,16,2021-11-23 07:40:54.976055
6150,sensor.0x00158d0001e4ad46_illuminance_lux,4,2021-11-23 07:40:54.975004
6157,device_tracker.chris_phone,not_home,2021-11-23 07:35:36.119931
6163,device_tracker.chris_phone,not_home,2021-11-23 07:25:36.055523
6166,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-23 07:19:46.062841
6167,sensor.0x00158d00066941c9_illuminance_lux,16,2021-11-23 07:19:46.061147
6169,sensor.0x00158d00066941c9_illuminance_lux,3,2021-11-23 07:19:46.058253
6172,device_tracker.chris_phone,not_home,2021-11-23 07:18:46.813781
6173,weather.home,partlycloudy,2021-11-23 07:18:39.678908
6178,device_tracker.chris_phone,not_home,2021-11-23 07:05:33.942673
6182,device_tracker.chris_phone,not_home,2021-11-23 07:00:00.215595
6186,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 06:51:36.449201
6187,sensor.bedroom_entrance_illuminance_lux,3,2021-11-23 06:51:36.447641
6189,device_tracker.chris_phone,not_home,2021-11-23 06:50:31.253822
6190,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 06:45:53.087842
6191,sensor.0x00158d0001e4ad46_illuminance_lux,4,2021-11-23 06:45:53.087009
6192,sensor.0x00158d0001e4ad46_illuminance_lux,3,2021-11-23 06:45:53.085835
6197,device_tracker.chris_phone,not_home,2021-11-23 06:37:46.754935
6201,device_tracker.chris_phone,not_home,2021-11-23 06:25:01.308448
6203,weather.home,partlycloudy,2021-11-23 06:19:39.684892
6205,device_tracker.chris_phone,not_home,2021-11-23 06:16:41.087945
6210,device_tracker.chris_phone,not_home,2021-11-23 06:07:12.693178
6214,device_tracker.chris_phone,not_home,2021-11-23 05:58:51.288589
6216,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 05:56:34.936099
6217,sensor.bedroom_entrance_illuminance_lux,3,2021-11-23 05:56:34.934638
6220,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-23 05:50:51.215490
6221,sensor.0x00158d0001e4ad46_illuminance_lux,3,2021-11-23 05:50:51.213782
6223,device_tracker.chris_phone,not_home,2021-11-23 05:48:51.148044
6229,device_tracker.chris_phone,not_home,2021-11-23 05:38:30.595645
6230,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 05:38:15.576250
6231,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-23 05:38:15.575214
6232,sensor.bedroom_entrance_illuminance_lux,3,2021-11-23 05:38:15.573610
6234,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-23 05:36:45.570068
6235,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 05:36:45.569156
6236,sensor.bedroom_entrance_illuminance_lux,3,2021-11-23 05:36:45.567672
6239,device_tracker.chris_phone,not_home,2021-11-23 05:28:09.260841
6241,weather.home,sunny,2021-11-23 05:20:39.713979
6243,device_tracker.chris_phone,not_home,2021-11-23 05:18:46.525880
6247,device_tracker.chris_phone,not_home,2021-11-23 05:11:02.432097
6251,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-23 05:00:11.695240
